Year,Home Team,Home Score,Away Team,Away Score
2002,Scotland,3,England,29
2002,France,33,Italy,12
2002,Ireland,54,Wales,10
2002,England,45,Ireland,11
2002,Italy,12,Scotland,29
2002,Wales,33,France,37
2002,France,20,England,15
2002,Wales,44,Italy,20
2002,Ireland,43,Scotland,22
2002,England,50,Wales,10
2002,Ireland,32,Italy,17
2002,Scotland,10,France,22
2002,France,44,Ireland,5
2002,Wales,22,Scotland,27
2002,Italy,9,England,45
2003,Italy,30,Wales,22
2003,England,25,France,17
2003,Scotland,6,Ireland,36
2003,Italy,13,Ireland,37
2003,Wales,9,England,26
2003,France,38,Scotland,3
2003,Ireland,15,France,12
2003,Scotland,30,Wales,22
2003,England,40,Italy,5
2003,Wales,24,Ireland,25
2003,England,40,Scotland,9
2003,Italy,27,France,53
2003,France,33,Wales,5
2003,Scotland,33,Italy,25
2003,Ireland,6,England,42
2004,France,35,Ireland,17
2004,Wales,23,Scotland,10
2004,Italy,9,England,50
2004,France,25,Italy,0
2004,Scotland,13,England,35
2004,Ireland,36,Wales,15
2004,Italy,20,Scotland,14
2004,England,13,Ireland,19
2004,Wales,22,France,29
2004,Ireland,19,Italy,3
2004,England,31,Wales,21
2004,Scotland,0,France,31
2004,Wales,44,Italy,10
2004,Ireland,37,Scotland,16
2004,France,24,England,21
2005,France,16,Scotland,9
2005,Wales,11,England,9
2005,Italy,17,Ireland,28
2005,Italy,8,Wales,38
2005,Scotland,13,Ireland,40
2005,England,17,France,18
2005,Scotland,18,Italy,10
2005,France,18,Wales,24
2005,Ireland,19,England,13
2005,Ireland,19,France,26
2005,England,39,Italy,7
2005,Scotland,22,Wales,46
2005,Italy,13,France,56
2005,Wales,32,Ireland,20
2005,England,43,Scotland,22
2006,Ireland,26,Italy,16
2006,England,47,Wales,13
2006,Scotland,20,France,16
2006,France,43,Ireland,31
2006,Italy,16,England,31
2006,Wales,28,Scotland,18
2006,France,37,Italy,12
2006,Scotland,18,England,12
2006,Ireland,31,Wales,5
2006,Wales,18,Italy,18
2006,Ireland,15,Scotland,9
2006,France,31,England,6
2006,Italy,10,Scotland,13
2006,Wales,16,France,21
2006,England,24,Ireland,30
2007,Italy,3,France,39
2007,England,42,Scotland,20
2007,Wales,9,Ireland,19
2007,England,20,Italy,7
2007,Scotland,21,Wales,9
2007,Ireland,17,France,20
2007,Scotland,17,Italy,37
2007,Ireland,43,England,13
2007,France,32,Wales,21
2007,Scotland,18,Ireland,19
2007,Italy,23,Wales,20
2007,England,26,France,18
2007,Italy,24,Ireland,51
2007,France,46,Scotland,19
2007,Wales,27,England,18
2008,Ireland,16,Italy,11
2008,England,19,Wales,26
2008,Scotland,6,France,27
2008,Wales,30,Scotland,15
2008,France,26,Ireland,21
2008,Italy,19,England,23
2008,Wales,47,Italy,8
2008,Ireland,34,Scotland,13
2008,France,13,England,24
2008,Ireland,12,Wales,16
2008,Scotland,15,England,9
2008,France,25,Italy,13
2008,Italy,23,Scotland,20
2008,England,33,Ireland,10
2008,Wales,29,France,12
2009,England,36,Italy,11
2009,Ireland,30,France,21
2009,Scotland,13,Wales,26
2009,France,22,Scotland,13
2009,Wales,23,England,15
2009,Italy,9,Ireland,38
2009,France,21,Wales,16
2009,Scotland,26,Italy,6
2009,Ireland,14,England,13
2009,Italy,15,Wales,20
2009,Scotland,15,Ireland,22
2009,England,34,France,10
2009,Italy,8,France,50
2009,England,26,Scotland,12
2009,Wales,15,Ireland,17
2010,Ireland,29,Italy,11
2010,England,30,Wales,17
2010,Scotland,9,France,18
2010,Wales,31,Scotland,24
2010,France,33,Ireland,10
2010,Italy,12,England,17
2010,Wales,20,France,26
2010,Italy,16,Scotland,12
2010,England,16,Ireland,20
2010,Ireland,27,Wales,12
2010,Scotland,15,England,15
2010,France,46,Italy,20
2010,Wales,33,Italy,10
2010,Ireland,20,Scotland,23
2010,France,12,England,10
2011,Wales,19,England,26
2011,Italy,11,Ireland,13
2011,France,34,Scotland,21
2011,England,59,Italy,13
2011,Scotland,6,Wales,24
2011,Ireland,22,France,25
2011,Italy,16,Wales,24
2011,England,17,France,9
2011,Scotland,18,Ireland,21
2011,Italy,22,France,21
2011,Wales,19,Ireland,13
2011,England,22,Scotland,16
2011,Scotland,21,Italy,8
2011,Ireland,24,England,8
2011,France,28,Wales,9
2012,France,30,Italy,12
2012,Scotland,6,England,13
2012,Ireland,21,Wales,23
2012,Italy,15,England,19
2012,France,17,Ireland,17
2012,Wales,27,Scotland,13
2012,Ireland,42,Italy,10
2012,England,12,Wales,19
2012,Scotland,17,France,23
2012,Wales,24,Italy,3
2012,Ireland,32,Scotland,14
2012,France,22,England,24
2012,Italy,13,Scotland,6
2012,Wales,16,France,9
2012,England,30,Ireland,9
2013,Wales,22,Ireland,30
2013,England,38,Scotland,18
2013,Italy,23,France,18
2013,Scotland,34,Italy,10
2013,France,6,Wales,16
2013,Ireland,6,England,12
2013,Italy,9,Wales,26
2013,England,23,France,13
2013,Scotland,12,Ireland,8
2013,Scotland,18,Wales,28
2013,Ireland,13,France,13
2013,England,18,Italy,11
2013,Italy,22,Ireland,15
2013,Wales,30,England,3
2013,France,23,Scotland,16
2014,Wales,23,Italy,15
2014,France,26,England,24
2014,Ireland,28,Scotland,6
2014,Ireland,26,Wales,3
2014,Scotland,0,England,20
2014,France,30,Italy,10
2014,Wales,27,France,6
2014,Italy,20,Scotland,21
2014,England,13,Ireland,10
2014,Ireland,46,Italy,7
2014,Scotland,17,France,19
2014,England,29,Wales,18
2014,Italy,11,England,52
2014,Wales,51,Scotland,3
2014,France,20,Ireland,22
2015,Wales,16,England,21
2015,Italy,3,Ireland,26
2015,France,15,Scotland,8
2015,England,47,Italy,17
2015,Ireland,18,France,11
2015,Scotland,23,Wales,26
2015,Scotland,19,Italy,22
2015,France,13,Wales,20
2015,Ireland,19,England,9
2015,Wales,23,Ireland,16
2015,England,25,Scotland,13
2015,Italy,0,France,29
2015,Italy,20,Wales,61
2015,Scotland,10,Ireland,40
2015,England,55,France,35
2016,France,23,Italy,21
2016,Scotland,9,England,15
2016,Ireland,16,Wales,16
2016,France,10,Ireland,9
2016,Wales,27,Scotland,23
2016,Italy,9,England,40
2016,Wales,19,France,10
2016,Italy,20,Scotland,36
2016,England,21,Ireland,10
2016,Ireland,58,Italy,15
2016,England,25,Wales,21
2016,Scotland,29,France,18
2016,Wales,67,Italy,14
2016,Ireland,35,Scotland,25
2016,France,21,England,31
2017,Scotland,27,Ireland,22
2017,England,19,France,16
2017,Italy,7,Wales,33
2017,Italy,10,Ireland,63
2017,Wales,16,England,21
2017,France,22,Scotland,16
2017,Scotland,29,Wales,13
2017,Ireland,19,France,9
2017,England,36,Italy,15
2017,Wales,22,Ireland,9
2017,Italy,18,France,40
2017,England,61,Scotland,21
2017,Scotland,29,Italy,0
2017,France,20,Wales,18
2017,Ireland,13,England,9
